time,cumulative daily rainfall (mm)
2011-10-02,0.008666992
2011-10-03,0.00970459
2011-10-04,0.011962891
2011-10-05,0.044555664
2011-10-06,0.0048828125
2011-10-07,0.016784668
2011-10-08,0.012939453
2011-10-09,0.00012207031
2011-10-10,0.00061035156
2011-10-11,0.0053710938
2011-10-12,0.0008544922
2011-10-13,0.0020751953
2011-10-14,0.0012817383
2011-10-15,0.0004272461
2011-10-16,6.1035156e-05
2011-10-17,0.026489258
2011-10-18,0.076416016
2011-10-19,0.108947754
2011-10-20,0.07696533
2011-10-21,0.024780273
2011-10-22,0.070007324
2011-10-23,0.3279419
2011-10-24,0.2741089
2011-10-25,0.0993042
2011-10-26,0.72058105
2011-10-27,0.26867676
2011-10-28,0.27557373
2011-10-29,0.74938965
2011-10-30,0.76275635
2011-10-31,0.65740967
2011-11-01,0.46240234
2011-11-02,0.5317383
2011-11-03,1.3196411
2011-11-04,0.14868164
2011-11-05,0.47821045
2011-11-06,0.269104
2011-11-07,0.7114868
2011-11-08,0.47003174
2011-11-09,0.00970459
2011-11-10,0.03869629
2011-11-11,0.43841553
2011-11-12,0.39562988
2011-11-13,0.6628418
2011-11-14,0.58203125
2011-11-15,0.7183838
2011-11-16,0.7914429
2011-11-17,2.7666626
2011-11-18,2.323059
2011-11-19,1.242981
2011-11-20,0.7519531
2011-11-21,2.5455322
2011-11-22,2.835266
2011-11-23,1.9968872
2011-11-24,1.9949951
2011-11-25,1.5543213
2011-11-26,0.69628906
2011-11-27,1.779602
2011-11-28,1.8739624
2011-11-29,2.6699219
2011-11-30,1.8098145
2011-12-01,1.9194946
2011-12-02,2.5377197
2011-12-03,2.5625
2011-12-04,2.5861816
2011-12-05,1.2429199
2011-12-06,2.9450073
2011-12-07,1.7139282
2011-12-08,3.3936768
2011-12-09,3.4818115
2011-12-10,2.9926758
2011-12-11,1.0755005
2011-12-12,1.2769165
2011-12-13,0.43798828
2011-12-14,0.20031738
2011-12-15,0.08508301
2011-12-16,0.0803833
2011-12-17,0.38946533
2011-12-18,2.74646
2011-12-19,3.3469238
2011-12-20,2.7947388
2011-12-21,1.0202637
2011-12-22,0.8795166
2011-12-23,1.9682007
2011-12-24,2.3380737
2011-12-25,2.0697632
2011-12-26,1.7277222
2011-12-27,2.5091553
2011-12-28,2.7705078
2011-12-29,2.3551636
2011-12-30,1.4447021
2011-12-31,1.0090942
2012-01-01,1.739502
2012-01-02,1.3364258
2012-01-03,0.33831787
2012-01-04,1.6550293
2012-01-05,0.43914795
2012-01-06,0.4439087
2012-01-07,0.35327148
2012-01-08,1.1358032
2012-01-09,1.2927246
2012-01-10,1.7183838
2012-01-11,1.9315796
2012-01-12,3.6628418
2012-01-13,3.4595947
2012-01-14,2.9709473
2012-01-15,2.6895142
2012-01-16,4.0376587
2012-01-17,2.1455688
2012-01-18,0.56689453
2012-01-19,0.031311035
2012-01-20,0.01751709
2012-01-21,0.07373047
2012-01-22,0.42956543
2012-01-23,0.07904053
2012-01-24,0.4821167
2012-01-25,0.6508789
2012-01-26,0.077697754
2012-01-27,0.54089355
2012-01-28,1.6616821
2012-01-29,1.7695923
2012-01-30,2.8878784
2012-01-31,4.501892
2012-02-01,0.8487549
2012-02-02,0.008850098
2012-02-03,0.0014038086
2012-02-04,0.0014648438
2012-02-05,1.0787964
2012-02-06,3.3261108
2012-02-07,1.0363159
2012-02-08,0.65356445
2012-02-09,3.1915894
2012-02-10,1.6060791
2012-02-11,0.070251465
2012-02-12,0.39196777
2012-02-13,0.31427002
2012-02-14,0.8306885
2012-02-15,2.7945557
2012-02-16,1.8190918
2012-02-17,1.9526367
2012-02-18,4.1608276
2012-02-19,1.8831787
2012-02-20,1.0598755
2012-02-21,0.8078003
2012-02-22,0.80670166
2012-02-23,1.9246826
2012-02-24,1.9142456
2012-02-25,2.194275
2012-02-26,1.5491943
2012-02-27,2.2454834
2012-02-28,1.760315
2012-02-29,2.1709595
2012-03-01,1.8040771
2012-03-02,0.802063
2012-03-03,1.4951172
2012-03-04,1.5941772
2012-03-05,1.5794678
2012-03-06,1.8643188
2012-03-07,2.2556152
2012-03-08,1.3337402
2012-03-09,1.5204468
2012-03-10,3.1339722
2012-03-11,1.2246094
2012-03-12,0.5545044
2012-03-13,0.5593262
2012-03-14,1.2562256
2012-03-15,1.6859131
2012-03-16,0.9833374
2012-03-17,0.06542969
2012-03-18,0.003540039
2012-03-19,0.024658203
2012-03-20,0.11663818
2012-03-21,0.43762207
2012-03-22,1.149292
2012-03-23,1.6740723
2012-03-24,2.3950195
2012-03-25,1.7462158
2012-03-26,1.875
2012-03-27,1.5880737
2012-03-28,0.42626953
2012-03-29,0.045776367
2012-03-30,0.00036621094
2012-03-31,0.013549805
2012-04-01,0.043884277
2012-04-02,0.0178833
2012-04-03,0.0045776367
2012-04-04,0.013061523
2012-04-05,0.006164551
2012-04-06,0.014099121
2012-04-07,0.020141602
2012-04-08,0.023742676
2012-04-09,0.0038452148
2012-04-10,0.022277832
2012-04-11,0.014465332
2012-04-12,0.019042969
2012-04-13,0.12054443
2012-04-14,0.056518555
2012-04-15,0.038208008
2012-04-16,0.031799316
2012-04-17,0.0067749023
2012-04-18,0.0018920898
2012-04-19,0.0004272461
2012-04-20,0.0
2012-04-21,0.0
2012-04-22,0.0
2012-04-23,0.0
2012-04-24,0.0
2012-04-25,0.0
2012-04-26,0.0
2012-04-27,0.0
2012-04-28,0.0
2012-04-29,0.0
2012-04-30,0.0
2012-05-01,0.0
2012-05-02,0.0
2012-05-03,0.0
2012-05-04,0.0
2012-05-05,0.0
2012-05-06,0.0
2012-05-07,0.0
2012-05-08,0.0
2012-05-09,0.0
2012-05-10,0.0
2012-05-11,0.0
2012-05-12,0.0
2012-05-13,0.0
2012-05-14,0.0
2012-05-15,0.0
2012-05-16,0.0
2012-05-17,0.0
2012-05-18,0.0
2012-05-19,0.0
2012-05-20,0.0
2012-05-21,0.0
2012-05-22,0.0
2012-05-23,0.0
2012-05-24,0.0
2012-05-25,0.0
2012-05-26,0.0
2012-05-27,0.0
2012-05-28,0.0
2012-05-29,0.0
2012-05-30,0.0
2012-05-31,0.0
2012-06-01,0.0
2012-06-02,0.0
2012-06-03,0.0
2012-06-04,0.0
2012-06-05,0.0
2012-06-06,0.0
2012-06-07,0.0
2012-06-08,0.0
2012-06-09,0.0
2012-06-10,0.0
2012-06-11,0.0
2012-06-12,0.0
2012-06-13,0.0
2012-06-14,0.0
2012-06-15,0.0
2012-06-16,0.0
2012-06-17,0.0
2012-06-18,0.0
2012-06-19,0.0
2012-06-20,0.0
2012-06-21,0.0
2012-06-22,0.0
2012-06-23,0.0
2012-06-24,0.0
2012-06-25,0.0
2012-06-26,0.0
2012-06-27,0.0
2012-06-28,0.0
2012-06-29,0.0
2012-06-30,0.0
2012-07-01,0.0
2012-07-02,0.0
2012-07-03,0.0
2012-07-04,0.0
2012-07-05,0.0
2012-07-06,0.0
2012-07-07,0.0
2012-07-08,0.0
2012-07-09,0.0
2012-07-10,0.0
2012-07-11,0.0
2012-07-12,0.0
2012-07-13,0.0
2012-07-14,0.0
2012-07-15,0.0
2012-07-16,0.0
2012-07-17,0.0
2012-07-18,0.0
2012-07-19,0.0
2012-07-20,0.0
2012-07-21,0.0
2012-07-22,0.0
2012-07-23,0.0
2012-07-24,0.0
2012-07-25,0.0
2012-07-26,0.0
2012-07-27,0.0
2012-07-28,0.0
2012-07-29,0.0
2012-07-30,0.0
2012-07-31,0.0
2012-08-01,0.0
2012-08-02,0.0
2012-08-03,0.0
2012-08-04,0.0
2012-08-05,0.0
2012-08-06,0.0
2012-08-07,0.0
2012-08-08,0.0
2012-08-09,0.0
2012-08-10,0.0
2012-08-11,0.0
2012-08-12,0.0
2012-08-13,0.0
2012-08-14,0.0
2012-08-15,0.0
2012-08-16,0.00030517578
2012-08-17,0.0
2012-08-18,0.0
2012-08-19,0.0
2012-08-20,0.0
2012-08-21,0.0
2012-08-22,0.0
2012-08-23,0.007019043
2012-08-24,0.0025634766
2012-08-25,0.0
2012-08-26,0.0
2012-08-27,0.0
2012-08-28,0.0
2012-08-29,0.0
2012-08-30,0.0
2012-08-31,0.0
2012-09-01,0.0
2012-09-02,0.0
2012-09-03,0.0
2012-09-04,0.0
2012-09-05,0.0
2012-09-06,0.0
2012-09-07,0.0
2012-09-08,0.0
2012-09-09,0.0
2012-09-10,0.0
2012-09-11,0.0
2012-09-12,0.0
2012-09-13,0.0
2012-09-14,0.0
2012-09-15,0.0
2012-09-16,0.0
2012-09-17,0.0
2012-09-18,0.0
2012-09-19,0.0
2012-09-20,0.00012207031
2012-09-21,0.03100586
2012-09-22,0.0015258789
2012-09-23,0.00036621094
2012-09-24,0.06549072
2012-09-25,0.0052490234
2012-09-26,0.0021362305
2012-09-27,0.23504639
2012-09-28,0.09399414
2012-09-29,0.18109131
2012-09-30,0.08270264
2012-10-01,6.1035156e-05
2012-10-02,0.007019043
2012-10-03,0.0
2012-10-04,0.0007324219
2012-10-05,0.00024414062
2012-10-06,0.019958496
